TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T20079,C4613178,15/12/89,M,BANGALORE,22124.78,23/9/16,195810,354.01
T20080,C2758162,16/5/89,F,ERODE,25451.57,23/9/16,195403,202.0
T20081,C5230731,2/7/82,M,NAVI MUMBAI,12655.32,23/9/16,201357,850.0
T20082,C6423027,24/7/84,M,CHENNAI,56202.21,23/9/16,201833,306.0
T20083,C8721937,30/6/93,F,PAURI GARHWAL,461.47,23/9/16,195844,169.0
T20084,C7536374,18/12/89,M,DELHI,1006498.62,23/9/16,200241,1735.0
T20085,C3624968,6/6/72,M,BANGALORE,10403.56,23/9/16,201727,300.0
T20086,C5537970,20/7/94,M,AMBASAMUDRAM,125649.33,23/9/16,202148,1142.0
T20087,C8020721,24/12/76,F,NEW DELHI,125686.87,23/9/16,123357,212.0
T20088,C3728734,18/1/81,F,MUMBAI,127701.8,23/9/16,123609,562.88
T20089,C5742431,20/6/73,M,GUNTUR,148879.91,23/9/16,123806,1579.0
T20090,C3412535,15/1/83,M,TEZPUR,11084.71,23/9/16,132428,96.0
T20091,C7015918,29/4/75,M,MUMBAI,17869.68,23/9/16,195023,100.0
T20092,C7734761,8/9/80,M,MUMBAI,6036.36,23/9/16,195235,867.0
T20093,C6926950,10/7/90,M,KANPUR,7568.49,23/9/16,195120,1098.0
T20094,C7791744,17/1/74,M,GURGAON,648070.62,23/9/16,194608,840.0
T20095,C6723140,27/11/86,M,BENGALURU,789974.32,23/9/16,194659,430.0
T20096,C4513287,3/8/95,F,PASCHIM MEDINIPUR,38124.87,23/9/16,195012,1553.0
T20097,C3566280,15/4/92,F,MUMBAI,2170.04,23/9/16,200404,119.0
T20098,C2412258,5/5/80,F,KOLKATA,7825.13,23/9/16,193529,1868.0
T20099,C4834225,4/6/72,M,BANGALORE,2904958.78,23/9/16,202548,906.0
T20100,C5035933,27/5/91,M,KANYAKUMARI,1281.86,23/9/16,202545,485.0
T20101,C6127774,19/12/91,F,VELLORE,11000.65,23/9/16,202643,100.0
T20102,C2419342,16/12/88,M,NEW DELHI,1117767.26,23/9/16,124033,250.0
T20103,C1327380,1/8/92,F,MUKERIAN,0.13,23/9/16,121627,20.0
T20104,C8038384,6/3/71,F,SAS NAGAR,70991.31,23/9/16,133707,900.0
T20105,C1825225,5/6/63,M,DHANBAD,42130.36,23/9/16,200806,710.0
T20106,C1220477,5/10/90,M,BANGALORE,27914.49,23/9/16,201010,50.0
T20107,C2940912,6/1/80,M,AMRITSAR,448331.86,23/9/16,201216,1000.0
T20108,C3131439,13/8/93,F,GURGAON,12283.93,23/9/16,201112,293.25
T20109,C8627482,21/6/84,M,DIST THANE,1202.14,23/9/16,204506,220.0
T20110,C1037527,5/6/82,F,GURGAON,68252.25,23/9/16,204507,1250.0
T20111,C6630912,14/2/90,M,NEW DELHI,82964.54,23/9/16,202304,200.0
T20112,C9040954,1/1/1800,F,PETROL PUMP MUMBAI,6694.84,23/9/16,202526,2640.0
T20113,C3969624,13/10/89,F,DELHI,122195.91,23/9/16,200909,2343.51
T20114,C3721750,19/5/82,M,GURGAON,19688.54,23/9/16,201124,380.0
T20115,C7538345,1/1/1800,M,JIND,114649.38,23/9/16,124930,1512.75
T20116,C3914730,11/4/43,F,NOIDA,48278.61,23/9/16,133526,986.0
T20117,C6426349,8/10/94,M,DELHI,16.2,23/9/16,134734,49.0
T20118,C5334164,9/9/89,M,NADIA,1340.53,23/9/16,202341,1778.0
T20119,C3249433,25/11/66,F,MUMBAI,1629701.75,23/9/16,202345,5453.94
T20120,C5137070,25/11/85,M,CHANDIGARH,10050.02,23/9/16,202405,159.0
T20121,C3741847,10/6/82,F,MUMBAI,1147336.53,23/9/16,204832,175.0
T20122,C6617815,1/1/1800,M,MUMBAI,56928.04,23/9/16,204901,3152.0
T20123,C1020478,1/1/1800,M,TRICHY,1155.34,23/9/16,204904,5081.0
T20124,C5340611,26/1/86,M,NEW DELHI,400549.58,23/9/16,202641,632.0
T20125,C1119747,19/6/75,M,AHMEDABAD,23735.86,23/9/16,200445,300.0
T20126,C7124389,11/2/97,M,BHIWANDI,12160.29,23/9/16,205842,500.0
T20127,C5720128,12/12/90,M,PUNE,7969.62,23/9/16,202323,400.0
T20128,C5231829,3/11/66,M,NEW DELHI,43020.93,23/9/16,202457,500.0
T20129,C6831960,17/12/91,M,NAGAR SION (E) MUMBAI,169448.34,23/9/16,202553,265.0
T20130,C4625682,11/4/92,M,(EAST) MUMBAI,13284.67,23/9/16,211247,555.0
T20131,C8823769,28/8/90,M,PUNE,9716.21,23/9/16,211248,1098.0
T20132,C4133915,30/1/91,F,NEW DELHI,64513.82,23/9/16,200753,1026.0
T20133,C4320728,23/1/93,F,TIRUNELVELI DT,6005.28,23/9/16,210219,265.0
T20134,C1510039,30/4/79,M,JAIPUR,9217.53,23/9/16,205448,500.0
T20135,C7168391,29/9/59,M,GURGAON,63781.41,23/9/16,202000,510.0
T20136,C7340315,12/7/92,F,SAHARANPUR,24695.21,23/9/16,202003,1900.0
T20137,C2336170,29/5/82,F,KALYAN (WEST),26620.32,23/9/16,202306,1715.0
T20138,C8971957,10/11/82,M,NEW DELHI,42029.66,23/9/16,202308,457.87
T20139,C3432433,2/12/84,M,NAVI MUMBAI,16243.26,23/9/16,201437,200.0
T20140,C2932444,2/12/84,M,NAVI MUMBAI,16243.26,23/9/16,201942,200.0
T20141,C2038434,28/6/85,M,BARDHAMAN,36531.92,23/9/16,204241,200.0
T20142,C8398465,18/6/91,F,NEW DELHI,3279.99,23/9/16,204241,790.0
T20143,C5430186,9/8/63,F,MUMBAI,63671.63,23/9/16,105621,11300.0
T20144,C3418362,30/6/80,M,MUMBAI,2247989.37,23/9/16,200320,370.0
T20145,C7921718,11/10/87,M,AJMER,22681.35,23/9/16,200537,430.0
T20146,C5425543,14/8/88,M,BANGALORE,12008.44,23/9/16,200548,535.0
T20147,C6516068,29/7/92,M,ROHTAK,5714.32,23/9/16,201336,750.0
T20148,C3739447,30/12/94,F,SUBURBAN DIST MUMBAI,249223.57,23/9/16,201339,29.0
T20149,C7355367,10/4/86,F,PUNE,141.62,23/9/16,205257,2406.0
T20150,C3633942,26/1/80,F,GURGAON,25741.69,23/9/16,132544,2000.0
T20151,C2321076,7/2/80,M,MAPUSA,101599.46,23/9/16,133256,33608.0
T20152,C6035847,30/7/73,M,KOLKATA,147.55,23/9/16,133156,200.0
T20153,C3124564,18/2/72,M,AHMEDABAD,3832.43,23/9/16,134547,250.0
T20154,C2084376,11/2/75,M,DURGAPUR,25748.08,23/9/16,201711,655.0
T20155,C8840158,14/8/73,M,MUMBAI,34043.05,23/9/16,202255,181.0
T20156,C7688271,7/10/92,F,BANGALORE,53046.82,27/9/16,125326,350.0
T20157,C7625229,15/8/70,F,BANGALORE,1002205.21,27/9/16,125641,2666.0
T20158,C8921790,1/7/76,M,NEW DELHI,150460.06,27/9/16,125544,500.0
T20159,C3728154,17/4/88,F,NEW DELHI,22316.99,27/9/16,125550,400.0
T20160,C2911034,16/6/96,M,THANE,28491.37,23/9/16,201421,1471.0
T20161,C5481154,22/4/57,M,CHENNAI,219.87,27/9/16,133742,309.0
T20162,C2423763,5/7/85,M,GURGAON,6.54,27/9/16,131551,1500.0
T20163,C2232137,22/3/88,M,DELHI,137720.45,27/9/16,75610,10.09
T20164,C4997345,4/5/81,F,NAVI MUMBAI,137144.92,23/9/16,200157,750.0
T20165,C4031885,17/9/75,F,MUMBAI,26290.96,23/9/16,194359,5000.0
T20166,C1114831,15/11/93,M,LUDHIANA,47.17,23/9/16,194400,25.0
T20167,C6746674,26/11/92,M,BHAVNAGAR,41136.15,23/9/16,195000,599.0
T20168,C4631731,20/8/76,M,PUNE,82282.57,23/9/16,131022,6280.0
T20169,C7631436,25/3/81,F,CHENNAI,457691.95,23/9/16,195440,1848.0
T20170,C3927466,4/10/91,M,GURGAON,9472.3,23/9/16,195652,100.0
T20171,C4241784,1/3/65,M,COIMBATORE,240747.22,23/9/16,194636,504.0
T20172,C1539187,,M,PATIALA,32598.06,23/9/16,194559,612.65
T20173,C7928392,24/9/89,F,INDIRANAGAR BANGALORE,33059.28,23/9/16,195803,198.0
T20174,C2923019,7/6/90,F,NAGPURRASTRA,74694.17,23/9/16,201353,957.75
T20175,C4914614,19/3/82,F,BANGALORE,314.46,23/9/16,195316,155.0
T20176,C2716670,29/11/71,M,NEXT TO HUB MALL GORGAON EAST,7411.74,23/9/16,194319,154.0
T20177,C8524330,5/6/86,M,BHAYA SONPUR,36069.29,23/9/16,194510,655.0
T20178,C5613138,15/4/79,M,GURGAON,210519.66,23/9/16,194913,2901.0
T20179,C3716417,5/6/77,M,FARIDABAD,41519.67,23/9/16,195341,1000.0
T20180,C3626532,26/6/83,M,CHENNAI,87048.1,23/9/16,195540,90.0
T20181,C7438767,2/9/88,M,VARANASI,10695.63,23/9/16,195431,200.0
T20182,C3650763,29/5/83,M,GURGAON,523478.93,23/9/16,195718,1350.0
T20183,C1711854,25/8/86,M,RANCHI,44349.02,23/9/16,194545,357.0
T20184,C1196178,2/4/80,M,VIHAR BUS STOP APNA BAZAR SO THANE,232051.26,23/9/16,124439,18.0
T20185,C5428057,1/1/1800,M,MUMBAI,230894.59,23/9/16,2011,1.0
T20186,C5534627,6/3/94,M,RANGA REDDY,17966.28,23/9/16,130249,69.0
T20187,C3015343,19/3/89,M,LUCKNOW,2552060.38,23/9/16,131839,172.0
T20188,C7035238,1/1/1800,F,BANK- HINJEWADI-PUNE,39514.86,23/9/16,195959,5500.0
T20189,C7824973,1/1/1800,F,UDAIPUR,36221.63,23/9/16,200811,1500.0
T20190,C1021658,10/1/91,F,KOLKATA,38367.78,23/9/16,203829,693.0
T20191,C8930458,29/12/88,F,DIST PUNE,21013.69,23/9/16,195314,2000.0
T20192,C1414811,9/9/88,F,MUMBAI,187539.18,23/9/16,195509,220.0
T20193,C4533057,23/7/88,M,AURANGABAD,14051.48,23/9/16,194613,135.0
T20194,C1621460,1/3/84,M,COIMBATORE,1674.94,23/9/16,194616,850.0
T20195,C8636092,3/6/89,M,GUNTUR,3026.77,23/9/16,130339,90.0
T20196,C8832851,25/12/90,F,DELHI,46590.43,23/9/16,130334,1600.0
T20197,C8798422,5/6/87,F,GURGAON,214557.4,23/9/16,132140,599.0
T20198,C6524021,20/2/78,M,GURGAON,10732.7,23/9/16,195503,219.0
T20199,C6426725,10/11/88,M,GURGAON,21245.24,23/9/16,195724,410.0
T20200,C1132859,14/10/78,M,BANGALORE,11232.59,23/9/16,195815,515.23
T20201,C6024785,4/3/87,M,VALSAD,36065.16,23/9/16,195615,50.0
T20202,C8631359,7/7/89,F,ZIRAKPUR,25848.96,23/9/16,195709,702.0
T20203,C2732188,7/1/93,M,DELHI,474.57,23/9/16,194348,215.0
T20204,C2410562,1/1/1800,M,LUCKNOW,75587.83,23/9/16,194348,1000.0
T20205,C1133063,25/11/80,M,CHANDIGARH,14258.29,23/9/16,194521,400.0
T20206,C6415971,27/6/82,M,DARIBA,1383622.02,23/9/16,203819,13497.0
T20207,C1733669,16/3/88,M,NASHIK,255204.55,23/9/16,195411,261.68
T20208,C8640565,3/2/50,M,NEW DELHI,648.0,23/9/16,204253,16512.7
T20209,C2522582,15/3/73,M,UDAIPUR,339212.84,23/9/16,114630,46.28
T20210,C5614933,19/3/82,M,DIBRUGARH,10209.75,23/9/16,195932,40.0
T20211,C8124082,3/9/81,M,MUMBAI,10133.86,23/9/16,195935,291.04
T20212,C3519048,5/1/89,M,ARA,8905.65,23/9/16,195853,1223.0
T20213,C7730033,1/1/1800,M,HOSPITAL MUMBAI,1276362.67,23/9/16,204438,986.0
T20214,C8332864,28/7/79,M,MUDURAI,32742.39,23/9/16,195645,140.0
T20215,C7928092,17/9/91,M,HYDERABAD,66182.87,23/9/16,194410,1089.0
T20216,C5323260,6/6/71,F,DELHI,799.4,23/9/16,203255,660.0
T20217,C6510540,21/1/89,M,VIJAYAWADA,25782.45,23/9/16,195150,284.48
T20218,C1621164,27/5/87,F,RANGA REDDY,111649.63,23/9/16,194301,755.15
T20219,C2840585,1/6/83,M,ANJAR GANDHIDHAM,19578.09,23/9/16,201821,120.0
T20220,C7729333,7/10/92,F,MUMBAI,421.34,23/9/16,203608,300.0
T20221,C8440127,25/12/91,M,GURGAON,2452.77,23/9/16,130229,17.0
T20222,C3465316,7/10/74,M,AGRA,74017.63,23/9/16,130517,89.0
T20223,C2518443,1/1/1800,M,PUNE,733812.91,23/9/16,194339,226.0
T20224,C7823069,15/11/86,F,GURGAON,30291.75,23/9/16,194537,299.0
T20225,C8842531,15/5/91,F,NAVI MUMBAI,64130.48,23/9/16,204104,1999.0
T20226,C7322033,6/11/87,M,GURGAON,155.96,23/9/16,204106,300.0
T20227,C6788611,28/2/94,M,NASHIK,56361.57,23/9/16,200118,70.0
T20228,C6411132,17/11/91,M,BIJNOR,38782.57,23/9/16,203922,300.0
T20229,C5021786,14/12/83,M,MODINAGAR,8757.72,23/9/16,202815,1900.0
T20230,C4941469,7/2/70,M,DELHI,22239.76,23/9/16,201830,210.0
T20231,C3039670,2/7/76,M,MUMBAI,33169.38,23/9/16,204244,1275.0
T20232,C1718542,9/1/39,M,FARIDABAD,53.31,23/9/16,204536,150.0
T20233,C5714954,27/10/85,M,NOIDA,21421.85,23/9/16,201730,652.0
T20234,C8534127,5/6/87,F,BANGALORE,38970.13,23/9/16,195048,595.0
T20235,C2822327,29/5/87,M,MUMBAI,38082.12,23/9/16,203011,200.0
T20236,C3521251,2/9/71,M,POWAI MUMBAI,63199.59,23/9/16,203013,1004.0
T20237,C4316113,1/7/87,M,GHAZIABAD,27390.16,23/9/16,194320,1262.0
T20238,C4629813,14/11/91,M,BANGALORE,97514.76,23/9/16,194655,50.0
T20239,C3311212,29/4/91,F,MANGALORE,10789.27,23/9/16,201613,889.5
T20240,C7221366,26/1/85,M,NEW DELHI,52718.21,23/9/16,203816,110.0
T20241,C5040434,1/1/1800,M,CHENNAI,97767.87,23/9/16,204255,395.0
T20242,C5020140,11/1/94,M,GURGAON,11332.88,23/9/16,202117,55.0
T20243,C6025611,1/2/86,F,BANGALORE,88246.5,23/9/16,202118,541.0
T20244,C6965163,25/4/78,M,RANGA REDDY,423557.66,23/9/16,210932,190.0
T20245,C4730634,9/2/52,M,JALANDHAR,46193.95,23/9/16,204944,47.0
T20246,C2841953,25/8/95,M,KAPURTHALA,346.51,23/9/16,205218,66.0
T20247,C3512133,11/11/78,M,ZIRAKPUR,1130141.97,23/9/16,205218,1016.0
T20248,C5453162,15/11/88,M,CHANDIGARH,10187.29,23/9/16,205434,1389.0
T20249,C3442591,15/11/78,M,GURGAON,695013.22,23/9/16,125547,461.97
T20250,C5330381,5/3/78,M,AURANGABAD,9213.17,23/9/16,125640,850.0
T20251,C7542345,6/9/93,F,HYDERABAD,8643.85,23/9/16,125631,674.68
T20252,C5441325,17/7/76,F,NOIDA,262034.71,23/9/16,125430,577.72
T20253,C8234141,18/9/91,F,KANPUR NAGAR,21002.65,23/9/16,195213,440.0
T20254,C8842985,10/11/89,M,THANE,29143.36,23/9/16,195317,100.0
T20255,C2021378,19/12/53,M,MUMBAI,235434.86,23/9/16,80215,1.0
T20256,C5542752,6/5/92,M,ALIGARH,15102.86,23/9/16,203309,100.0
T20257,C8792629,31/1/91,M,DELHI,66783.51,23/9/16,202749,300.0
T20258,C2227470,28/9/82,F,BANGALORE,21206.98,23/9/16,202749,247.0
T20259,C7434490,27/5/91,M,AHMEDABAD,1872.89,23/9/16,202750,402.0
T20260,C1923680,20/1/87,M,BHUBANESHWAR,74407.75,23/9/16,201321,520.0
T20261,C8021262,26/3/87,M,DELHI,2127.97,23/9/16,201350,200.0
T20262,C5316255,24/11/84,M,NEW DELHI,944995.55,23/9/16,211101,1175.0
T20263,C2665133,25/4/78,M,RANGA REDDY,423557.66,23/9/16,204807,1197.0
T20264,C7834933,19/5/91,M,PATHANAMTHITTA,4040.15,23/9/16,204809,286.0
T20265,C2236872,12/9/90,M,HYDERABAD,112318.06,23/9/16,204553,76.0
T20266,C5518712,15/4/97,M,RAJAPALAYAM,19099.5,23/9/16,125255,26.0
T20267,C6340958,12/8/95,M,JAIPUR,21166.0,23/9/16,125255,3498.0
T20268,C7057223,19/10/79,M,HYDERABAD,2736.78,23/9/16,201603,25500.0
T20269,C7839061,26/10/91,F,NOIDA,34536.2,23/9/16,201552,558.12
T20270,C7665881,7/8/73,M,MUMBAI,187917.22,23/9/16,203130,3777.32
T20271,C7438745,30/6/88,M,HYDERABAD,32088.17,23/9/16,203138,240.45
T20272,C6857742,18/5/91,F,MUMBAI,29421.83,23/9/16,203138,903.0
T20273,C8527334,1/1/91,M,BHAGALPUR,4585.09,23/9/16,201751,596.0
T20274,C6031020,25/12/75,M,CHANDIGARH,218319.02,23/9/16,211458,2000.0
T20275,C6411245,3/10/89,M,PUNE,48349.47,23/9/16,212233,606.9
T20276,C8818412,21/11/84,M,MUMBAI,19387.91,23/9/16,211523,5423.0
T20277,C3440912,22/11/93,M,HOSUR,18.66,23/9/16,202002,50.0
T20278,C6234532,13/6/81,F,NEW DELHI,212489.28,23/9/16,202039,2016.0
T20279,C8920492,21/11/91,F,BANKURA,1296.68,23/9/16,202738,20.0
T20280,C5139492,2/6/93,M,BAHADURGARH,11837.11,23/9/16,210612,30.0
T20281,C4418464,4/1/93,M,VILLE HOUSE MUMBAI,24317.44,23/9/16,203036,334.0
T20282,C6633655,12/4/89,F,BANGALORE,5545.35,23/9/16,203255,1604.0
T20283,C8133352,16/7/92,M,FARIDKOT,1153.66,23/9/16,203258,300.0
T20284,C7715840,2/9/92,M,THANE,4515.82,23/9/16,203305,1000.0
T20285,C3717475,19/3/85,M,INDORE,32113.43,23/9/16,125148,251.0
T20286,C5028522,10/8/92,M,NEW DELHI,15540.53,23/9/16,201734,167.0
T20287,C3222343,8/3/68,M,DELHI,24100.8,23/9/16,202355,494.0
T20288,C4530461,17/7/87,M,GURGAON,8567.42,23/9/16,203048,480.0
T20289,C1932485,2/8/82,M,KANGRA,3856.86,23/9/16,210514,500.0
T20290,C1429283,27/6/86,M,RANCHI,16332.7,23/9/16,211425,254.91
T20291,C7040747,8/11/88,M,MUMBAI,94294.18,23/9/16,210652,567.0
T20292,C2842629,31/5/79,M,BANGALORE,16439.56,23/9/16,201502,180.0
T20293,C4210084,18/5/82,F,GURGAON,36988.92,23/9/16,203859,1382.0
T20294,C5325480,14/5/84,F,MUMBAI,48083.14,23/9/16,124440,2238.0
T20295,C3330654,26/3/92,M,VISAKHAPATNAM,18201.74,23/9/16,204710,500.0
T20296,C3139990,25/10/90,F,AGRA,11942.24,23/9/16,204710,1295.0
T20297,C3334318,15/2/88,M,VELLORE DT,38573.0,23/9/16,201843,324.8
T20298,C4544942,10/11/90,M,MAHARASHTRA MUMBAI,65529.65,23/9/16,201945,364.0
T20299,C1999256,21/2/93,M,MUMBAI,185614.07,23/9/16,201953,350.0
T20300,C3231358,17/2/77,M,THANE,12020.94,23/9/16,202123,1000.0
T20301,C2247528,23/10/83,M,HYDERABAD,13502.92,23/9/16,201147,1292.0
T20302,C7872471,15/9/89,M,BANGALORE,70646.83,23/9/16,133001,698.0
T20303,C1526526,4/12/79,M,JAMMU,38925.64,23/9/16,133319,300.0
T20304,C8535215,15/11/91,M,GHAZIABAD,2350.53,23/9/16,133320,197.0
T20305,C8235426,20/1/62,M,MUMBAI,0.36,23/9/16,133321,1600.0
T20306,C4510522,1/1/1800,M,ANAND,55375.52,23/9/16,133444,1500.0
T20307,C3290269,30/1/60,F,NARNAUL,17466.26,23/9/16,202501,2000.0
T20308,C2731131,1/1/1800,M,NOIDA,50743.7,23/9/16,202633,2843.0
T20309,C8638013,18/4/86,M,GURGAON,2321.82,23/9/16,200535,200.0
T20310,C6842184,10/3/93,F,MUMBAI,275316.16,23/9/16,202917,518.69
T20311,C3812876,4/6/90,M,GURGAON,14441.8,23/9/16,200827,108.0
T20312,C8514437,10/1/88,F,GURGAON,159956.51,23/9/16,201028,1430.0
T20313,C7413452,20/10/89,F,VISAKHAPATNAM,49.23,23/9/16,201316,914.0
T20314,C5890477,10/12/91,F,JAIPUR,18437.8,23/9/16,201402,22905.0
T20315,C6722265,26/4/89,F,BANGALORE,12738.65,23/9/16,201453,545.8
T20316,C8514848,1/1/82,M,MUMBAI,4052.01,23/9/16,200518,346.0
T20317,C5823641,1/1/1800,M,BANGALORE,7516.22,23/9/16,201536,370.79
T20318,C5025385,6/3/80,M,BANGALORE,53060.13,23/9/16,201747,1743.0
T20319,C5538962,21/6/88,M,CHANDIGARH,5855.91,23/9/16,202829,95.0
T20320,C9031813,15/8/78,M,AMRITSAR,108174.07,23/9/16,135552,30.0
T20321,C6484546,30/1/89,M,DELHI,2472.22,23/9/16,204441,170.0
T20322,C4515692,29/7/87,M,DELHI,6224.12,23/9/16,204351,100.0
T20323,C3338437,6/1/87,M,PUNE,13807.93,23/9/16,204730,1999.0
T20324,C8922223,7/5/78,M,NEW DELHI,292.63,23/9/16,204445,758.0
