,TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
62,T20064,C8036447,1985-01-20,M,HEADQUARTER NAVI MUMBAI,151842.68,2016-09-23,202009,1000.0
63,T20065,C4536252,1986-01-05,F,MUMBAI,52579.47,2016-09-23,202100,523.0
65,T20067,C7824139,1994-11-04,F,HYDERABAD,9437.77,2016-09-23,165300,2.65
66,T20068,C8921976,1987-03-21,M,KANGRA,9352.7,2016-09-23,202439,123.0
67,T20069,C5813827,1993-02-25,F,NEW DELHI,2406.59,2016-09-23,200144,50.0
68,T20070,C6947013,1988-10-16,M,FARIDABAD,6406.9,2016-09-23,200440,2200.0
69,T20071,C5220186,1980-01-01,M,NEW DELHI,6797.1,2016-09-23,200858,25.0
70,T20072,C8110416,1989-03-09,M,MORADABAD,17039.83,2016-09-23,125648,515.0
71,T20073,C1820743,1991-03-20,M,REWARI,440.35,2016-09-23,200041,5950.0
72,T20074,C7513548,1989-04-16,M,NEW DELHI,33524.18,2016-09-23,200644,718.0
73,T20075,C2626116,1979-04-29,F,BANGALORE,2461.65,2016-09-23,200644,217.0
74,T20076,C7011490,1991-11-18,F,GURGAON,17396.93,2016-09-23,200649,100.0
75,T20077,C6535649,1981-09-15,M,BANGALORE,27296.8,2016-09-23,200501,500.0
76,T20078,C8014275,1977-07-05,M,DERABASSI,2376.54,2016-09-23,200216,10.0
77,T20079,C4613178,1989-12-15,M,BANGALORE,22124.78,2016-09-23,195810,354.01
78,T20080,C2758162,1989-05-16,F,ERODE,25451.57,2016-09-23,195403,202.0
79,T20081,C5230731,1982-02-07,M,NAVI MUMBAI,12655.32,2016-09-23,201357,850.0
80,T20082,C6423027,1984-07-24,M,CHENNAI,56202.21,2016-09-23,201833,306.0
81,T20083,C8721937,1993-06-30,F,PAURI GARHWAL,461.47,2016-09-23,195844,169.0
82,T20084,C7536374,1989-12-18,M,DELHI,1006498.62,2016-09-23,200241,1735.0
83,T20085,C3624968,1972-06-06,M,BANGALORE,10403.56,2016-09-23,201727,300.0
84,T20086,C5537970,1994-07-20,M,AMBASAMUDRAM,125649.33,2016-09-23,202148,1142.0
85,T20087,C8020721,1976-12-24,F,NEW DELHI,125686.87,2016-09-23,123357,212.0
86,T20088,C3728734,1981-01-18,F,MUMBAI,127701.8,2016-09-23,123609,562.88
87,T20089,C5742431,1973-06-20,M,GUNTUR,148879.91,2016-09-23,123806,1579.0
88,T20090,C3412535,1983-01-15,M,TEZPUR,11084.71,2016-09-23,132428,96.0
89,T20091,C7015918,1975-04-29,M,MUMBAI,17869.68,2016-09-23,195023,100.0
90,T20092,C7734761,1980-08-09,M,MUMBAI,6036.36,2016-09-23,195235,867.0
91,T20093,C6926950,1990-10-07,M,KANPUR,7568.49,2016-09-23,195120,1098.0
92,T20094,C7791744,1974-01-17,M,GURGAON,648070.62,2016-09-23,194608,840.0
93,T20095,C6723140,1986-11-27,M,BENGALURU,789974.32,2016-09-23,194659,430.0
94,T20096,C4513287,1995-03-08,F,PASCHIM MEDINIPUR,38124.87,2016-09-23,195012,1553.0
95,T20097,C3566280,1992-04-15,F,MUMBAI,2170.04,2016-09-23,200404,119.0
96,T20098,C2412258,1980-05-05,F,KOLKATA,7825.13,2016-09-23,193529,1868.0
97,T20099,C4834225,1972-04-06,M,BANGALORE,2904958.78,2016-09-23,202548,906.0
98,T20100,C5035933,1991-05-27,M,KANYAKUMARI,1281.86,2016-09-23,202545,485.0
99,T20101,C6127774,1991-12-19,F,VELLORE,11000.65,2016-09-23,202643,100.0
100,T20102,C2419342,1988-12-16,M,NEW DELHI,1117767.26,2016-09-23,124033,250.0
101,T20103,C1327380,1992-01-08,F,MUKERIAN,0.13,2016-09-23,121627,20.0
102,T20104,C8038384,1971-06-03,F,SAS NAGAR,70991.31,2016-09-23,133707,900.0
103,T20105,C1825225,1963-05-06,M,DHANBAD,42130.36,2016-09-23,200806,710.0
104,T20106,C1220477,1990-05-10,M,BANGALORE,27914.49,2016-09-23,201010,50.0
105,T20107,C2940912,1980-06-01,M,AMRITSAR,448331.86,2016-09-23,201216,1000.0
106,T20108,C3131439,1993-08-13,F,GURGAON,12283.93,2016-09-23,201112,293.25
107,T20109,C8627482,1984-06-21,M,DIST THANE,1202.14,2016-09-23,204506,220.0
108,T20110,C1037527,1982-05-06,F,GURGAON,68252.25,2016-09-23,204507,1250.0
109,T20111,C6630912,1990-02-14,M,NEW DELHI,82964.54,2016-09-23,202304,200.0
111,T20113,C3969624,1989-10-13,F,DELHI,122195.91,2016-09-23,200909,2343.51
112,T20114,C3721750,1982-05-19,M,GURGAON,19688.54,2016-09-23,201124,380.0
114,T20116,C3914730,1943-11-04,F,NOIDA,48278.61,2016-09-23,133526,986.0
115,T20117,C6426349,1994-08-10,M,DELHI,16.2,2016-09-23,134734,49.0
116,T20118,C5334164,1989-09-09,M,NADIA,1340.53,2016-09-23,202341,1778.0
117,T20119,C3249433,1966-11-25,F,MUMBAI,1629701.75,2016-09-23,202345,5453.94
118,T20120,C5137070,1985-11-25,M,CHANDIGARH,10050.02,2016-09-23,202405,159.0
119,T20121,C3741847,1982-10-06,F,MUMBAI,1147336.53,2016-09-23,204832,175.0
122,T20124,C5340611,1986-01-26,M,NEW DELHI,400549.58,2016-09-23,202641,632.0
123,T20125,C1119747,1975-06-19,M,AHMEDABAD,23735.86,2016-09-23,200445,300.0
124,T20126,C7124389,1997-11-02,M,BHIWANDI,12160.29,2016-09-23,205842,500.0
125,T20127,C5720128,1990-12-12,M,PUNE,7969.62,2016-09-23,202323,400.0
126,T20128,C5231829,1966-03-11,M,NEW DELHI,43020.93,2016-09-23,202457,500.0
127,T20129,C6831960,1991-12-17,M,NAGAR SION (E) MUMBAI,169448.34,2016-09-23,202553,265.0
128,T20130,C4625682,1992-11-04,M,(EAST) MUMBAI,13284.67,2016-09-23,211247,555.0
129,T20131,C8823769,1990-08-28,M,PUNE,9716.21,2016-09-23,211248,1098.0
130,T20132,C4133915,1991-01-30,F,NEW DELHI,64513.82,2016-09-23,200753,1026.0
131,T20133,C4320728,1993-01-23,F,TIRUNELVELI DT,6005.28,2016-09-23,210219,265.0
132,T20134,C1510039,1979-04-30,M,JAIPUR,9217.53,2016-09-23,205448,500.0
133,T20135,C7168391,1959-09-29,M,GURGAON,63781.41,2016-09-23,202000,510.0
134,T20136,C7340315,1992-12-07,F,SAHARANPUR,24695.21,2016-09-23,202003,1900.0
135,T20137,C2336170,1982-05-29,F,KALYAN (WEST),26620.32,2016-09-23,202306,1715.0
136,T20138,C8971957,1982-10-11,M,NEW DELHI,42029.66,2016-09-23,202308,457.87
137,T20139,C3432433,1984-02-12,M,NAVI MUMBAI,16243.26,2016-09-23,201437,200.0
138,T20140,C2932444,1984-02-12,M,NAVI MUMBAI,16243.26,2016-09-23,201942,200.0
139,T20141,C2038434,1985-06-28,M,BARDHAMAN,36531.92,2016-09-23,204241,200.0
140,T20142,C8398465,1991-06-18,F,NEW DELHI,3279.99,2016-09-23,204241,790.0
141,T20143,C5430186,1963-09-08,F,MUMBAI,63671.63,2016-09-23,105621,11300.0
142,T20144,C3418362,1980-06-30,M,MUMBAI,2247989.37,2016-09-23,200320,370.0
143,T20145,C7921718,1987-11-10,M,AJMER,22681.35,2016-09-23,200537,430.0
144,T20146,C5425543,1988-08-14,M,BANGALORE,12008.44,2016-09-23,200548,535.0
145,T20147,C6516068,1992-07-29,M,ROHTAK,5714.32,2016-09-23,201336,750.0
146,T20148,C3739447,1994-12-30,F,SUBURBAN DIST MUMBAI,249223.57,2016-09-23,201339,29.0
147,T20149,C7355367,1986-10-04,F,PUNE,141.62,2016-09-23,205257,2406.0
148,T20150,C3633942,1980-01-26,F,GURGAON,25741.69,2016-09-23,132544,2000.0
149,T20151,C2321076,1980-07-02,M,MAPUSA,101599.46,2016-09-23,133256,33608.0
150,T20152,C6035847,1973-07-30,M,KOLKATA,147.55,2016-09-23,133156,200.0
151,T20153,C3124564,1972-02-18,M,AHMEDABAD,3832.43,2016-09-23,134547,250.0
152,T20154,C2084376,1975-11-02,M,DURGAPUR,25748.08,2016-09-23,201711,655.0
153,T20155,C8840158,1973-08-14,M,MUMBAI,34043.05,2016-09-23,202255,181.0
154,T20156,C7688271,1992-07-10,F,BANGALORE,53046.82,2016-09-27,125326,350.0
155,T20157,C7625229,1970-08-15,F,BANGALORE,1002205.21,2016-09-27,125641,2666.0
156,T20158,C8921790,1976-01-07,M,NEW DELHI,150460.06,2016-09-27,125544,500.0
157,T20159,C3728154,1988-04-17,F,NEW DELHI,22316.99,2016-09-27,125550,400.0
158,T20160,C2911034,1996-06-16,M,THANE,28491.37,2016-09-23,201421,1471.0
159,T20161,C5481154,1957-04-22,M,CHENNAI,219.87,2016-09-27,133742,309.0
160,T20162,C2423763,1985-05-07,M,GURGAON,6.54,2016-09-27,131551,1500.0
161,T20163,C2232137,1988-03-22,M,DELHI,137720.45,2016-09-27,75610,10.09
162,T20164,C4997345,1981-04-05,F,NAVI MUMBAI,137144.92,2016-09-23,200157,750.0
163,T20165,C4031885,1975-09-17,F,MUMBAI,26290.96,2016-09-23,194359,5000.0
164,T20166,C1114831,1993-11-15,M,LUDHIANA,47.17,2016-09-23,194400,25.0
165,T20167,C6746674,1992-11-26,M,BHAVNAGAR,41136.15,2016-09-23,195000,599.0
166,T20168,C4631731,1976-08-20,M,PUNE,82282.57,2016-09-23,131022,6280.0
167,T20169,C7631436,1981-03-25,F,CHENNAI,457691.95,2016-09-23,195440,1848.0
168,T20170,C3927466,1991-04-10,M,GURGAON,9472.3,2016-09-23,195652,100.0
169,T20171,C4241784,1965-01-03,M,COIMBATORE,240747.22,2016-09-23,194636,504.0
171,T20173,C7928392,1989-09-24,F,INDIRANAGAR BANGALORE,33059.28,2016-09-23,195803,198.0
172,T20174,C2923019,1990-07-06,F,NAGPURRASTRA,74694.17,2016-09-23,201353,957.75
173,T20175,C4914614,1982-03-19,F,BANGALORE,314.46,2016-09-23,195316,155.0
174,T20176,C2716670,1971-11-29,M,NEXT TO HUB MALL GORGAON EAST,7411.74,2016-09-23,194319,154.0
175,T20177,C8524330,1986-05-06,M,BHAYA SONPUR,36069.29,2016-09-23,194510,655.0
176,T20178,C5613138,1979-04-15,M,GURGAON,210519.66,2016-09-23,194913,2901.0
177,T20179,C3716417,1977-05-06,M,FARIDABAD,41519.67,2016-09-23,195341,1000.0
178,T20180,C3626532,1983-06-26,M,CHENNAI,87048.1,2016-09-23,195540,90.0
179,T20181,C7438767,1988-02-09,M,VARANASI,10695.63,2016-09-23,195431,200.0
180,T20182,C3650763,1983-05-29,M,GURGAON,523478.93,2016-09-23,195718,1350.0
181,T20183,C1711854,1986-08-25,M,RANCHI,44349.02,2016-09-23,194545,357.0
182,T20184,C1196178,1980-02-04,M,VIHAR BUS STOP APNA BAZAR SO THANE,232051.26,2016-09-23,124439,18.0
184,T20186,C5534627,1994-06-03,M,RANGA REDDY,17966.28,2016-09-23,130249,69.0
185,T20187,C3015343,1989-03-19,M,LUCKNOW,2552060.38,2016-09-23,131839,172.0
188,T20190,C1021658,1991-10-01,F,KOLKATA,38367.78,2016-09-23,203829,693.0
189,T20191,C8930458,1988-12-29,F,DIST PUNE,21013.69,2016-09-23,195314,2000.0
190,T20192,C1414811,1988-09-09,F,MUMBAI,187539.18,2016-09-23,195509,220.0
191,T20193,C4533057,1988-07-23,M,AURANGABAD,14051.48,2016-09-23,194613,135.0
192,T20194,C1621460,1984-01-03,M,COIMBATORE,1674.94,2016-09-23,194616,850.0
193,T20195,C8636092,1989-03-06,M,GUNTUR,3026.77,2016-09-23,130339,90.0
194,T20196,C8832851,1990-12-25,F,DELHI,46590.43,2016-09-23,130334,1600.0
195,T20197,C8798422,1987-05-06,F,GURGAON,214557.4,2016-09-23,132140,599.0
196,T20198,C6524021,1978-02-20,M,GURGAON,10732.7,2016-09-23,195503,219.0
197,T20199,C6426725,1988-10-11,M,GURGAON,21245.24,2016-09-23,195724,410.0
198,T20200,C1132859,1978-10-14,M,BANGALORE,11232.59,2016-09-23,195815,515.23
199,T20201,C6024785,1987-04-03,M,VALSAD,36065.16,2016-09-23,195615,50.0
200,T20202,C8631359,1989-07-07,F,ZIRAKPUR,25848.96,2016-09-23,195709,702.0
201,T20203,C2732188,1993-07-01,M,DELHI,474.57,2016-09-23,194348,215.0
203,T20205,C1133063,1980-11-25,M,CHANDIGARH,14258.29,2016-09-23,194521,400.0
204,T20206,C6415971,1982-06-27,M,DARIBA,1383622.02,2016-09-23,203819,13497.0
205,T20207,C1733669,1988-03-16,M,NASHIK,255204.55,2016-09-23,195411,261.68
206,T20208,C8640565,1950-03-02,M,NEW DELHI,648.0,2016-09-23,204253,16512.7
207,T20209,C2522582,1973-03-15,M,UDAIPUR,339212.84,2016-09-23,114630,46.28
208,T20210,C5614933,1982-03-19,M,DIBRUGARH,10209.75,2016-09-23,195932,40.0
209,T20211,C8124082,1981-03-09,M,MUMBAI,10133.86,2016-09-23,195935,291.04
210,T20212,C3519048,1989-05-01,M,ARA,8905.65,2016-09-23,195853,1223.0
212,T20214,C8332864,1979-07-28,M,MUDURAI,32742.39,2016-09-23,195645,140.0
213,T20215,C7928092,1991-09-17,M,HYDERABAD,66182.87,2016-09-23,194410,1089.0
214,T20216,C5323260,1971-06-06,F,DELHI,799.4,2016-09-23,203255,660.0
215,T20217,C6510540,1989-01-21,M,VIJAYAWADA,25782.45,2016-09-23,195150,284.48
216,T20218,C1621164,1987-05-27,F,RANGA REDDY,111649.63,2016-09-23,194301,755.15
217,T20219,C2840585,1983-01-06,M,ANJAR GANDHIDHAM,19578.09,2016-09-23,201821,120.0
218,T20220,C7729333,1992-07-10,F,MUMBAI,421.34,2016-09-23,203608,300.0
219,T20221,C8440127,1991-12-25,M,GURGAON,2452.77,2016-09-23,130229,17.0
220,T20222,C3465316,1974-07-10,M,AGRA,74017.63,2016-09-23,130517,89.0
222,T20224,C7823069,1986-11-15,F,GURGAON,30291.75,2016-09-23,194537,299.0
223,T20225,C8842531,1991-05-15,F,NAVI MUMBAI,64130.48,2016-09-23,204104,1999.0
224,T20226,C7322033,1987-06-11,M,GURGAON,155.96,2016-09-23,204106,300.0
225,T20227,C6788611,1994-02-28,M,NASHIK,56361.57,2016-09-23,200118,70.0
226,T20228,C6411132,1991-11-17,M,BIJNOR,38782.57,2016-09-23,203922,300.0
227,T20229,C5021786,1983-12-14,M,MODINAGAR,8757.72,2016-09-23,202815,1900.0
228,T20230,C4941469,1970-07-02,M,DELHI,22239.76,2016-09-23,201830,210.0
229,T20231,C3039670,1976-02-07,M,MUMBAI,33169.38,2016-09-23,204244,1275.0
230,T20232,C1718542,1939-09-01,M,FARIDABAD,53.31,2016-09-23,204536,150.0
231,T20233,C5714954,1985-10-27,M,NOIDA,21421.85,2016-09-23,201730,652.0
232,T20234,C8534127,1987-05-06,F,BANGALORE,38970.13,2016-09-23,195048,595.0
233,T20235,C2822327,1987-05-29,M,MUMBAI,38082.12,2016-09-23,203011,200.0
234,T20236,C3521251,1971-02-09,M,POWAI MUMBAI,63199.59,2016-09-23,203013,1004.0
235,T20237,C4316113,1987-01-07,M,GHAZIABAD,27390.16,2016-09-23,194320,1262.0
236,T20238,C4629813,1991-11-14,M,BANGALORE,97514.76,2016-09-23,194655,50.0
237,T20239,C3311212,1991-04-29,F,MANGALORE,10789.27,2016-09-23,201613,889.5
238,T20240,C7221366,1985-01-26,M,NEW DELHI,52718.21,2016-09-23,203816,110.0
240,T20242,C5020140,1994-11-01,M,GURGAON,11332.88,2016-09-23,202117,55.0
241,T20243,C6025611,1986-01-02,F,BANGALORE,88246.5,2016-09-23,202118,541.0
242,T20244,C6965163,1978-04-25,M,RANGA REDDY,423557.66,2016-09-23,210932,190.0
243,T20245,C4730634,1952-09-02,M,JALANDHAR,46193.95,2016-09-23,204944,47.0
244,T20246,C2841953,1995-08-25,M,KAPURTHALA,346.51,2016-09-23,205218,66.0
245,T20247,C3512133,1978-11-11,M,ZIRAKPUR,1130141.97,2016-09-23,205218,1016.0
246,T20248,C5453162,1988-11-15,M,CHANDIGARH,10187.29,2016-09-23,205434,1389.0
247,T20249,C3442591,1978-11-15,M,GURGAON,695013.22,2016-09-23,125547,461.97
248,T20250,C5330381,1978-05-03,M,AURANGABAD,9213.17,2016-09-23,125640,850.0
249,T20251,C7542345,1993-06-09,F,HYDERABAD,8643.85,2016-09-23,125631,674.68
250,T20252,C5441325,1976-07-17,F,NOIDA,262034.71,2016-09-23,125430,577.72
251,T20253,C8234141,1991-09-18,F,KANPUR NAGAR,21002.65,2016-09-23,195213,440.0
252,T20254,C8842985,1989-10-11,M,THANE,29143.36,2016-09-23,195317,100.0
253,T20255,C2021378,1953-12-19,M,MUMBAI,235434.86,2016-09-23,80215,1.0
254,T20256,C5542752,1992-06-05,M,ALIGARH,15102.86,2016-09-23,203309,100.0
255,T20257,C8792629,1991-01-31,M,DELHI,66783.51,2016-09-23,202749,300.0
256,T20258,C2227470,1982-09-28,F,BANGALORE,21206.98,2016-09-23,202749,247.0
257,T20259,C7434490,1991-05-27,M,AHMEDABAD,1872.89,2016-09-23,202750,402.0
258,T20260,C1923680,1987-01-20,M,BHUBANESHWAR,74407.75,2016-09-23,201321,520.0
259,T20261,C8021262,1987-03-26,M,DELHI,2127.97,2016-09-23,201350,200.0
260,T20262,C5316255,1984-11-24,M,NEW DELHI,944995.55,2016-09-23,211101,1175.0
261,T20263,C2665133,1978-04-25,M,RANGA REDDY,423557.66,2016-09-23,204807,1197.0
262,T20264,C7834933,1991-05-19,M,PATHANAMTHITTA,4040.15,2016-09-23,204809,286.0
263,T20265,C2236872,1990-12-09,M,HYDERABAD,112318.06,2016-09-23,204553,76.0
264,T20266,C5518712,1997-04-15,M,RAJAPALAYAM,19099.5,2016-09-23,125255,26.0
265,T20267,C6340958,1995-12-08,M,JAIPUR,21166.0,2016-09-23,125255,3498.0
266,T20268,C7057223,1979-10-19,M,HYDERABAD,2736.78,2016-09-23,201603,25500.0
267,T20269,C7839061,1991-10-26,F,NOIDA,34536.2,2016-09-23,201552,558.12
268,T20270,C7665881,1973-07-08,M,MUMBAI,187917.22,2016-09-23,203130,3777.32
269,T20271,C7438745,1988-06-30,M,HYDERABAD,32088.17,2016-09-23,203138,240.45
270,T20272,C6857742,1991-05-18,F,MUMBAI,29421.83,2016-09-23,203138,903.0
271,T20273,C8527334,1991-01-01,M,BHAGALPUR,4585.09,2016-09-23,201751,596.0
272,T20274,C6031020,1975-12-25,M,CHANDIGARH,218319.02,2016-09-23,211458,2000.0
273,T20275,C6411245,1989-03-10,M,PUNE,48349.47,2016-09-23,212233,606.9
274,T20276,C8818412,1984-11-21,M,MUMBAI,19387.91,2016-09-23,211523,5423.0
275,T20277,C3440912,1993-11-22,M,HOSUR,18.66,2016-09-23,202002,50.0
276,T20278,C6234532,1981-06-13,F,NEW DELHI,212489.28,2016-09-23,202039,2016.0
277,T20279,C8920492,1991-11-21,F,BANKURA,1296.68,2016-09-23,202738,20.0
278,T20280,C5139492,1993-02-06,M,BAHADURGARH,11837.11,2016-09-23,210612,30.0
279,T20281,C4418464,1993-04-01,M,VILLE HOUSE MUMBAI,24317.44,2016-09-23,203036,334.0
280,T20282,C6633655,1989-12-04,F,BANGALORE,5545.35,2016-09-23,203255,1604.0
281,T20283,C8133352,1992-07-16,M,FARIDKOT,1153.66,2016-09-23,203258,300.0
282,T20284,C7715840,1992-02-09,M,THANE,4515.82,2016-09-23,203305,1000.0
283,T20285,C3717475,1985-03-19,M,INDORE,32113.43,2016-09-23,125148,251.0
284,T20286,C5028522,1992-10-08,M,NEW DELHI,15540.53,2016-09-23,201734,167.0
285,T20287,C3222343,1968-08-03,M,DELHI,24100.8,2016-09-23,202355,494.0
286,T20288,C4530461,1987-07-17,M,GURGAON,8567.42,2016-09-23,203048,480.0
287,T20289,C1932485,1982-02-08,M,KANGRA,3856.86,2016-09-23,210514,500.0
288,T20290,C1429283,1986-06-27,M,RANCHI,16332.7,2016-09-23,211425,254.91
289,T20291,C7040747,1988-08-11,M,MUMBAI,94294.18,2016-09-23,210652,567.0
290,T20292,C2842629,1979-05-31,M,BANGALORE,16439.56,2016-09-23,201502,180.0
291,T20293,C4210084,1982-05-18,F,GURGAON,36988.92,2016-09-23,203859,1382.0
292,T20294,C5325480,1984-05-14,F,MUMBAI,48083.14,2016-09-23,124440,2238.0
293,T20295,C3330654,1992-03-26,M,VISAKHAPATNAM,18201.74,2016-09-23,204710,500.0
294,T20296,C3139990,1990-10-25,F,AGRA,11942.24,2016-09-23,204710,1295.0
295,T20297,C3334318,1988-02-15,M,VELLORE DT,38573.0,2016-09-23,201843,324.8
296,T20298,C4544942,1990-10-11,M,MAHARASHTRA MUMBAI,65529.65,2016-09-23,201945,364.0
297,T20299,C1999256,1993-02-21,M,MUMBAI,185614.07,2016-09-23,201953,350.0
298,T20300,C3231358,1977-02-17,M,THANE,12020.94,2016-09-23,202123,1000.0
299,T20301,C2247528,1983-10-23,M,HYDERABAD,13502.92,2016-09-23,201147,1292.0
300,T20302,C7872471,1989-09-15,M,BANGALORE,70646.83,2016-09-23,133001,698.0
301,T20303,C1526526,1979-04-12,M,JAMMU,38925.64,2016-09-23,133319,300.0
302,T20304,C8535215,1991-11-15,M,GHAZIABAD,2350.53,2016-09-23,133320,197.0
303,T20305,C8235426,1962-01-20,M,MUMBAI,0.36,2016-09-23,133321,1600.0
305,T20307,C3290269,1960-01-30,F,NARNAUL,17466.26,2016-09-23,202501,2000.0
307,T20309,C8638013,1986-04-18,M,GURGAON,2321.82,2016-09-23,200535,200.0
308,T20310,C6842184,1993-10-03,F,MUMBAI,275316.16,2016-09-23,202917,518.69
309,T20311,C3812876,1990-04-06,M,GURGAON,14441.8,2016-09-23,200827,108.0
310,T20312,C8514437,1988-10-01,F,GURGAON,159956.51,2016-09-23,201028,1430.0
311,T20313,C7413452,1989-10-20,F,VISAKHAPATNAM,49.23,2016-09-23,201316,914.0
312,T20314,C5890477,1991-10-12,F,JAIPUR,18437.8,2016-09-23,201402,22905.0
313,T20315,C6722265,1989-04-26,F,BANGALORE,12738.65,2016-09-23,201453,545.8
314,T20316,C8514848,1982-01-01,M,MUMBAI,4052.01,2016-09-23,200518,346.0
316,T20318,C5025385,1980-06-03,M,BANGALORE,53060.13,2016-09-23,201747,1743.0
317,T20319,C5538962,1988-06-21,M,CHANDIGARH,5855.91,2016-09-23,202829,95.0
318,T20320,C9031813,1978-08-15,M,AMRITSAR,108174.07,2016-09-23,135552,30.0
